Data,Fundo,Cota,Greenness,Propriedades certificadas
2013-03-01,01201140000190,"7,1191499369","0,00",0
2013-04-01,01201140000190,"6,9720337116","0,00",0
2013-05-02,01201140000190,"6,1633488485","0,00",0
2013-06-04,01201140000190,"6,7201728642","0,00",0
2013-07-02,01201140000190,"6,801662237","0,00",0
2013-08-02,01201140000190,"6,4904956491","0,00",0
2013-09-03,01201140000190,"7,0236118952","0,00",0
2013-10-01,01201140000190,"7,3078640086","0,00",0
2013-11-01,01201140000190,"7,2814552677","0,00",0
2013-12-03,01201140000190,"7,4049096639","0,00",0
2014-01-07,01201140000190,"7,6509888139","0,00",0
2014-02-03,01201140000190,"7,824763235","0,00",0
2014-03-05,01201140000190,"7,6534574239","0,00",0
2014-04-01,01201140000190,"7,2627774588","0,00",0
2014-05-02,01201140000190,"7,9827227962","0,00",0
2014-06-04,01201140000190,"8,7425829881","0,00",0
2014-07-01,01201140000190,"8,3141577411","0,00",0
2014-08-04,01201140000190,"8,1291672136","0,00",0
2014-09-01,01201140000190,"7,9449438739","0,00",0
2014-10-03,01201140000190,"7,5662360521","0,00",0
2014-11-03,01201140000190,"8,2111221652","0,00",0
2014-12-01,01201140000190,"8,2017895734","0,00",0
2015-01-02,01201140000190,"7,8018596673","0,00",0
2015-02-03,01201140000190,"7,7057683899","0,00",0
2015-03-02,01201140000190,"9,034792088","0,00",0
2015-04-06,01201140000190,"8,4622116679","0,00",0
2015-05-04,01201140000190,"8,9258030231","0,00",0
2015-06-02,01201140000190,"8,7619371482","0,00",0
2015-07-01,01201140000190,"8,8857528823","0,00",0
2015-08-03,01201140000190,"8,9615323682","0,00",0
2015-09-01,01201140000190,"8,6901259907","0,00",0
2015-10-02,01201140000190,"8,7986997073","0,00",0
2015-11-04,01201140000190,"8,764172046","0,00",0
2015-12-01,01201140000190,"8,2993631463","0,00",0
2016-01-04,01201140000190,"8,2983966339","0,00",0
2016-02-01,01201140000190,"8,4682905293","0,00",0
2016-03-01,01201140000190,"8,5400935541","0,00",0
2016-04-01,01201140000190,"8,778468204","0,00",0
2016-05-02,01201140000190,"9,2992182153","0,00",0
2016-06-01,01201140000190,"8,8989317976","0,00",0
2016-07-01,01201140000190,"10,322394926","0,00",0
2016-08-01,01201140000190,"9,7682345353","0,00",0
2016-09-01,01201140000190,"9,8737351345","0,00",0
2016-10-03,01201140000190,"10,906402721","0,00",0
2016-11-04,01201140000190,"11,066634065","0,00",0
2016-12-01,01201140000190,"11,317378206","0,00",0
2017-01-02,01201140000190,"10,880624709","0,00",0
2017-02-01,01201140000190,"13,435582101","0,00",0
2017-03-01,01201140000190,"13,707114462","0,00",0
2017-04-03,01201140000190,"15,530214591","0,00",0
2017-05-02,01201140000190,"15,260337244","0,00",0
2017-06-01,01201140000190,"16,74212916","0,00",0
2017-07-03,01201140000190,"16,442189761","0,00",0
2017-08-01,01201140000190,"16,42","0,00",0
2017-09-01,01201140000190,"16,9","0,00",0
1997-12-30,01235622000161,"1000,5","0,00",0
1998-01-30,01235622000161,"1405,28","0,00",0
1998-02-27,01235622000161,"1414,66","0,00",0
1998-03-30,01235622000161,"1419,94","0,00",0
1998-04-30,01235622000161,"1424,12","0,00",0
1998-05-29,01235622000161,"1427,99","0,00",0
1998-06-30,01235622000161,"1432,2","0,00",0
1998-07-31,01235622000161,"1437,52","0,00",0
1998-08-31,01235622000161,"1440,38","0,00",0
1998-09-30,01235622000161,"1449,24","0,00",0
1998-10-30,01235622000161,"1460,55","0,00",0
1998-11-30,01235622000161,"1470,62","0,00",0
1998-12-31,01235622000161,"1008,89","0,00",0
1999-01-29,01235622000161,"1016,51","0,00",0
1999-02-26,01235622000161,"1136,54","0,00",0
1999-03-31,01235622000161,"1245,8773","0,00",0
1999-04-30,01235622000161,"1360,6289","0,00",0
1999-05-28,01235622000161,"1462,16","0,00",0
1999-06-30,01235622000161,"1527,4","0,00",0
1999-07-30,01235622000161,"1359,77","0,00",0
1999-08-31,01235622000161,"1443,76","0,00",0
1999-09-30,01235622000161,"1593,37","0,00",0
1999-10-29,01235622000161,"1593,37","0,00",0
1999-11-30,01235622000161,"1671,98","0,00",0
1999-12-30,01235622000161,"1698,73","0,00",0
2000-01-31,01235622000161,"1737,95","0,00",0
2000-02-29,01235622000161,"2194,64","0,00",0
2000-03-31,01235622000161,"1807,05","0,00",0
2000-04-28,01235622000161,"1842,3","0,00",0
2000-05-31,01235622000161,"1866,84","0,00",0
2000-06-30,01235622000161,"1847,6","0,00",0
2000-07-31,01235622000161,"1883,94","0,00",0
2000-08-31,01235622000161,"1936,395407","0,00",0
2000-09-29,01235622000161,"1984,56","0,00",0
2000-10-31,01235622000161,"2028,21","0,00",0
2000-11-30,01235622000161,"2062,87","0,00",0
2000-12-28,01235622000161,"2101,88","0,00",0
2001-01-31,01235622000161,"2123,91","0,00",0
2001-02-23,01235622000161,"2014,21","0,00",0
2001-03-30,01235622000161,"2008,54","0,00",0
2001-04-30,01235622000161,"2025,71","0,00",0
2001-05-31,01235622000161,"2053,85","0,00",0
2001-06-29,01235622000161,"2082,65","0,00",0
2001-07-31,01235622000161,"1909,34","0,00",0
2001-08-31,01235622000161,"1941,57","0,00",0
2001-09-28,01235622000161,"1965,61","0,00",0
2001-10-31,01235622000161,"1960,96","0,00",0
2001-11-30,01235622000161,"1985,15","0,00",0
2001-12-31,01235622000161,2006,"0,00",0
2002-01-31,01235622000161,"1825,68","0,00",0
2002-02-28,01235622000161,"1843,38","0,00",0
2002-03-28,01235622000161,"1858,34","0,00",0
2002-04-30,01235622000161,"1865,37","0,00",0
2002-05-31,01235622000161,"1880,94","0,00",0
2002-06-28,01235622000161,"1867,05","0,00",0
2002-07-31,01235622000161,"1804,4","0,00",0
2002-08-30,01235622000161,"1827,67","0,00",0
2002-09-30,01235622000161,"1862,04","0,00",0
2002-10-31,01235622000161,"1902,28","0,00",0
2002-11-29,01235622000161,"1954,69","0,00",0
2002-12-31,01235622000161,"2013,27","0,00",0
2003-01-31,01235622000161,"1930,1","0,00",0
2003-02-28,01235622000161,"1950,04","0,00",0
2003-03-31,01235622000161,"1988,62","0,00",0
2003-04-30,01235622000161,"2014,18","0,00",0
2003-05-30,01235622000161,"2036,08","0,00",0
2003-06-30,01235622000161,"2037,58","0,00",0
2003-07-31,01235622000161,"1947,9726","0,00",0
2003-08-29,01235622000161,"1948,5051","0,00",0
2003-09-30,01235622000161,"1965,7098","0,00",0
2003-10-31,01235622000161,"1993,3409","0,00",0
2003-11-28,01235622000161,"2007,23","0,00",0
2003-12-31,01235622000161,"2010,5781","0,00",0
2004-01-30,01235622000161,"1977,1471","0,00",0
2004-02-27,01235622000161,"1987,4782","0,00",0
2004-03-31,01235622000161,"1999,5334","0,00",0
2004-04-30,01235622000161,"2014,9417","0,00",0
2004-05-31,01235622000161,"2029,255","0,00",0
2004-06-30,01235622000161,"1907,6298","0,00",0
2004-07-30,01235622000161,"1756,7847","0,00",0
2004-08-31,01235622000161,"1782,0631","0,00",0
2004-09-30,01235622000161,"1800,7114","0,00",0
2004-10-29,01235622000161,"1814,9735","0,00",0
2004-11-30,01235622000161,"1838,757","0,00",0
2004-12-31,01235622000161,"1874,3549","0,00",0
2005-01-31,01235622000161,"1557,8908","0,00",0
2005-02-28,01235622000161,"1614,9232","0,00",0
2005-03-31,01235622000161,"1619,9761","0,00",0
2005-04-29,01235622000161,"1639,2067","0,00",0
2005-05-31,01235622000161,"1656,4267","0,00",0
2005-06-30,01235622000161,"1634,1745","0,00",0
2005-07-29,01235622000161,"1637,5415","0,00",0
2005-08-31,01235622000161,"1622,0981","0,00",0
2005-09-30,01235622000161,"1617,6257","0,00",0
2005-10-31,01235622000161,"1611,1725","0,00",0
2005-11-30,01235622000161,"1632,6796","0,00",0
2005-12-30,01235622000161,"1638,6396","0,00",0
2006-01-31,01235622000161,"1638,6396","0,00",0
2006-02-24,01235622000161,"1651,3147","0,00",0
2006-03-31,01235622000161,"1633,9932","0,00",0
2006-04-28,01235622000161,"1633,9932","0,00",0
2006-05-31,01235622000161,"1466,8911","0,00",0
2006-06-30,01235622000161,"1436,9118","0,00",0
2006-07-31,01235622000161,"1448,2719","0,00",0
2006-08-31,01235622000161,"1501,7611","0,00",0
2006-09-29,01235622000161,"1512,9697","0,00",0
2006-10-31,01235622000161,"1534,9545","0,00",0
2006-11-30,01235622000161,"1558,9554","0,00",0
2006-12-29,01235622000161,"1563,0721","0,00",0
2007-01-31,01235622000161,"965,9933","0,00",0
2007-02-28,01235622000161,"980,2986","0,00",0
2007-03-30,01235622000161,"988,986","0,00",0
2007-04-30,01235622000161,"1008,369","0,00",0
2007-05-31,01235622000161,"1004,0255","0,00",0
2007-06-29,01235622000161,"1004,0255","0,00",0
2007-07-31,01235622000161,"992,5072","0,00",0
2007-08-31,01235622000161,"992,5072","0,00",0
2007-09-28,01235622000161,"990,2887","0,00",0
2007-10-31,01235622000161,"952,9226","0,00",0
2007-11-30,01235622000161,"1002,0044","0,00",0
2007-12-31,01235622000161,"1002,0044","0,00",0
2008-01-31,01235622000161,"998,1714","0,00",0
2008-02-29,01235622000161,"1009,7709","0,00",0
2008-03-31,01235622000161,"1014,1725","0,00",0
2008-04-30,01235622000161,"1017,5623","0,00",0
2008-05-30,01235622000161,"1030,1149","0,00",0
2008-06-30,01235622000161,"1030,1149","0,00",0
2008-07-31,01235622000161,"988,0968","0,00",0
2008-08-29,01235622000161,"1016,3663","0,00",0
2008-09-30,01235622000161,"1027,7806","0,00",0
2008-10-31,01235622000161,"1043,6571","0,00",0
2008-11-28,01235622000161,"1052,5066","0,00",0
2008-12-31,01235622000161,"1052,5066","0,00",0
2009-01-30,01235622000161,"1015,944","0,00",0
2009-02-27,01235622000161,"1021,8825","0,00",0
2009-03-31,01235622000161,"1021,8825","0,00",0
2009-04-30,01235622000161,"1030,8305","0,00",0
2009-05-29,01235622000161,"1037,7975","0,00",0
2009-06-30,01235622000161,"1002,0441","0,00",0
2009-07-31,01235622000161,"1022,3018","0,00",0
2009-08-31,01235622000161,"1043,8121","0,00",0
2009-09-30,01235622000161,"1056,9401","0,00",0
2009-10-30,01235622000161,"1062,7298","0,00",0
2009-11-30,01235622000161,"1062,7298","0,00",0
2009-12-31,01235622000161,"1066,3831","0,00",0
2010-01-29,01235622000161,"1043,5614","0,00",0
2010-02-26,01235622000161,"1042,8049","0,00",0
2010-03-31,01235622000161,"1053,5388","0,00",0
2010-04-30,01235622000161,"1071,3053","0,00",0
2010-05-31,01235622000161,"1065,5609","0,00",0
2010-06-30,01235622000161,"1069,3424","0,00",0
2010-07-30,01235622000161,"1046,2803","0,00",0
2010-08-31,01235622000161,"1059,1748","0,00",0
2010-09-30,01235622000161,"1068,2025","0,00",0
2010-10-29,01235622000161,"1078,1417","0,00",0
2010-11-30,01235622000161,"1115,2218","0,00",0
2010-12-31,01235622000161,"1117,0845","0,00",0
2011-01-31,01235622000161,"1115,8866","0,00",0
2011-02-28,01235622000161,"1120,6702","0,00",0
2011-03-31,01235622000161,"1127,4488","0,00",0
2011-04-29,01235622000161,"1137,9942","0,00",0
2011-05-31,01235622000161,"1208,253","0,00",0
2011-06-30,01235622000161,"403,076","0,00",0
2011-07-29,01235622000161,"1205,0784","0,00",0
2011-08-31,01235622000161,"1242,2417","0,00",0
2011-09-30,01235622000161,"1242,605","0,00",0
2011-10-31,01235622000161,"1277,6132","0,00",0
2011-11-30,01235622000161,"1287,336","0,00",0
2011-12-30,01235622000161,"1328,5874","0,00",0
2012-01-31,01235622000161,"1285,3432","0,00",0
2012-02-29,01235622000161,"2804,9067","0,00",0
2012-03-30,01235622000161,"2903,6113","0,00",0
2012-04-30,01235622000161,"2930,428","0,00",0
2012-05-31,01235622000161,"2953,4756","0,00",0
2012-06-29,01235622000161,"2972,8919","0,00",0
2012-07-31,01235622000161,"3302,64","0,00",0
2012-08-31,01235622000161,"3336,1764","0,00",0
2012-09-28,01235622000161,"3358,7859","0,00",0
2012-10-31,01235622000161,"3380,397","0,00",0
2012-11-30,01235622000161,"3406,7101","0,00",0
2012-12-31,01235622000161,"3494,7745","0,00",0
2013-01-31,01235622000161,"3682,3375","0,00",0
2013-02-28,01235622000161,"3472,4498","0,00",0
2013-03-28,01235622000161,"3501,074","0,00",0
2013-04-30,01235622000161,"3468,8316","0,00",0
2013-05-31,01235622000161,"3453,9368","0,00",0
2013-06-28,01235622000161,"3584,286","0,00",0
2013-07-31,01235622000161,"3537,5706","0,00",0
2013-08-01,01235622000161,"3537,5726","0,00",0
2013-09-30,01235622000161,"3592,9528","0,00",0
2013-10-31,01235622000161,"3638,3029","0,00",0
2013-11-29,01235622000161,"3663,3036","0,00",0
2013-12-31,01235622000161,"3798,8376","0,00",0
2014-01-31,01235622000161,"3950,8762","0,00",0
2014-02-28,01235622000161,"3954,6166","0,00",0
2014-03-31,01235622000161,"3962,9952","0,00",0
2014-04-30,01235622000161,"3982,1294","0,00",0
2014-05-30,01235622000161,"4090,4893","0,00",0
2014-06-30,01235622000161,"4121,286","0,00",0
2014-07-31,01235622000161,"4121,286","0,00",0
2014-08-13,01235622000161,"4022,9253","0,00",0
2014-09-30,01235622000161,"4058,4193","0,00",0
2014-10-15,01235622000161,"4280,2782","0,00",0
2014-11-19,01235622000161,"4322,8846","0,00",0
2014-12-31,01235622000161,"4377,3901","0,00",0
2015-01-22,01235622000161,"3470,4702","0,00",0
2015-02-27,01235622000161,"3502,978","0,00",0
2015-03-31,01235622000161,"3513,9457","0,00",0
2015-04-30,01235622000161,"3535,0656","0,00",0
2015-05-29,01235622000161,"3724,5783","0,00",0
2015-06-30,01235622000161,"3538,3704","0,00",0
2015-07-10,01235622000161,"3754,9595","0,00",0
2015-08-03,01235622000161,"3641,4571","0,00",0
2015-09-15,01235622000161,"3626,365","0,00",0
2015-10-15,01235622000161,"3688,6264","0,00",0
2015-11-03,01235622000161,"3630,4337","0,00",0
2015-12-15,01235622000161,"3436,854","0,00",0
2016-01-21,01235622000161,"3382,2334","0,00",0
2016-02-10,01235622000161,"3372,0796","0,00",0
2016-03-16,01235622000161,"3395,4921","0,00",0
2016-04-20,01235622000161,"3405,269","0,00",0
2016-05-31,01235622000161,"3413,1874","0,00",0
2016-06-07,01235622000161,"3413,0428","0,00",0
2016-07-01,01235622000161,"3359,7183","0,00",0
2016-08-08,01235622000161,"3344,1373","0,00",0
2016-09-19,01235622000161,"3454,9433","0,00",0
2016-10-05,01235622000161,"3285,0195","0,00",0
2016-11-04,01235622000161,"3009,1997","0,00",0
2016-12-12,01235622000161,"3467,0708","0,00",0
2017-01-10,01235622000161,"2920,3257","0,00",0
2017-02-24,01235622000161,"2910,7245","0,00",0
2017-03-31,01235622000161,"2912,3626","0,00",0
2017-04-28,01235622000161,"2889,0931","0,00",0
2017-05-31,01235622000161,"2914,7621","0,00",0
2017-06-30,01235622000161,"2907,0752","0,00",0
2017-07-31,01235622000161,"2912,3651","0,00",0
2017-08-31,01235622000161,"2924,4187","0,00",0
2015-07-31,01601918000159,"130,5743994","0,00",0
2015-08-31,01601918000159,"131,3561133","0,00",0
2015-09-30,01601918000159,"132,0319216","0,00",0
2015-10-30,01601918000159,"132,6348409","0,00",0
2015-11-30,01601918000159,"127,8192242","0,00",0
2015-12-31,01601918000159,"124,055417","0,00",0
2016-01-29,01601918000159,"124,9618086","0,00",0
2016-02-29,01601918000159,"124,9618086","0,00",0
2016-03-31,01601918000159,"125,8867548","0,00",0
2016-04-29,01601918000159,"126,8551096","0,00",0
2016-05-31,01601918000159,"127,8141152","0,00",0
2016-06-30,01601918000159,"1270,739921","0,00",0
2016-07-29,01601918000159,"124,1733229","0,00",0
2016-08-31,01601918000159,"125,163664","0,00",0
2016-09-30,01601918000159,"126,1933305","0,00",0
2016-10-31,01601918000159,"127,1796236","0,00",0
2016-11-30,01601918000159,"128,1142714","0,00",0
2016-12-30,01601918000159,"131,6231865","0,00",0
2017-01-31,01601918000159,"126,8230484","0,00",0
2017-02-24,01601918000159,"127,8061756","0,00",0
2017-03-31,01601918000159,"128,777061","0,00",0
2017-04-28,01601918000159,"129,6686778","0,00",0
2017-05-31,01601918000159,"130,5305422","0,00",0
2017-06-30,01601918000159,"131,3868801","0,00",0
2017-07-31,01601918000159,"126,90151882","0,00",0
2014-04-30,01633741000172,"144,6599","0,00",0
2014-05-30,01633741000172,"144,6415","0,00",0
2014-06-30,01633741000172,"144,6084","0,00",0
2014-07-31,01633741000172,"144,6871","0,00",0
2014-08-29,01633741000172,"145,558","0,00",0
2014-09-30,01633741000172,"145,3222","0,00",0
2014-10-31,01633741000172,"145,0914","0,00",0
2014-11-28,01633741000172,"186,64","0,00",0
2014-12-31,01633741000172,"186,6","0,00",0
2015-01-30,01633741000172,"186,5513","0,00",0
2015-02-27,01633741000172,"186,424","0,00",0
2015-03-31,01633741000172,"186,4685","0,00",0
2015-04-30,01633741000172,"186,5405","0,00",0
2015-05-29,01633741000172,"186,4834","0,00",0
2015-06-30,01633741000172,"186,4585","0,00",0
2015-07-31,01633741000172,"186,3889","0,00",0
2015-08-31,01633741000172,"186,3961","0,00",0
2015-09-30,01633741000172,"186,4038","0,00",0
2015-10-30,01633741000172,"186,3946","0,00",0
2015-11-30,01633741000172,"186,4514","0,00",0
2015-12-31,01633741000172,"182,203","0,00",0
2016-01-29,01633741000172,"182,1325","0,00",0
2016-02-29,01633741000172,"182,0368","0,00",0
2016-03-31,01633741000172,"182,1234","0,00",0
2016-04-29,01633741000172,"182,4169","0,00",0
2016-05-31,01633741000172,"182,5848","0,00",0
2016-06-30,01633741000172,"181,8525","0,00",0
2016-07-29,01633741000172,"181,8728","0,00",0
2016-08-31,01633741000172,"181,742","0,00",0
2016-09-30,01633741000172,"181,7633","0,00",0
2016-10-31,01633741000172,"181,8688","0,00",0
2016-11-30,01633741000172,"181,9324","0,00",0
2016-12-30,01633741000172,"132,99","0,00",0
2017-01-31,01633741000172,"133,071","0,00",0
2017-02-24,01633741000172,"133,0545","0,00",0
2017-03-31,01633741000172,"133,1613","0,00",0
2017-04-28,01633741000172,"133,1435","0,00",0
2017-05-31,01633741000172,"133,071","0,00",0
