"Data","Q Negs","Q Títs","Volume$","Fechamento","Abertura","Mínimo","Máximo","Médio"
"03/07/2006",1,10000,6100,"0,21947879254","0,21947879254","0,21947879254","0,21947879254","0,21947879254"
"05/07/2006",1,20000,12200,"0,21947879254","0,21947879254","0,21947879254","0,21947879254","0,21947879254"
"10/07/2006",2,30200,18120,"0,21588077954","0,21588077954","0,21588077954","0,21588077954","0,21588077954"
"11/07/2006",1,484,"290,4","0,21588077954","0,21588077954","0,21588077954","0,21588077954","0,21588077954"
"21/07/2006",1,2123,"1295,03","0,22106307793","0,22106307793","0,22106307793","0,22106307793","0,22106307793"
"28/07/2006",1,1000,600,"0,21743909304","0,21743909304","0,21743909304","0,21743909304","0,21743909304"
"01/08/2006",1,167,"101,87","0,22106307793","0,22106307793","0,22106307793","0,22106307793","0,22106307793"
"02/08/2006",4,64361,"36785,77","0,20656713839","0,21019112328","0,20656713839","0,21019112328","0,20656713839"
"03/08/2006",2,10739,"6125,23","0,22106307793","0,20656713839","0,20656713839","0,22106307793","0,20656713839"
"04/08/2006",1,8526,"5030,34","0,21381510816","0,21381510816","0,21381510816","0,21381510816","0,21381510816"
"07/08/2006",2,21574,"12729,66","0,21381510816","0,21743909304","0,21381510816","0,21743909304","0,21381510816"
"09/08/2006",6,37454,"20979,34","0,20294315351","0,21381510816","0,20294315351","0,21381510816","0,20294315351"
"11/08/2006",3,50704,"28694,24","0,20294315351","0,20656713839","0,20294315351","0,20656713839","0,20656713839"
"14/08/2006",1,12174,"6817,44","0,20294315351","0,20294315351","0,20294315351","0,20294315351","0,20294315351"
"17/08/2006",3,69553,"38454,15","0,2006087966","0,20425622927","0,2006087966","0,20425622927","0,2006087966"
"22/08/2006",2,21670,"11918,5","0,2006087966","0,2006087966","0,2006087966","0,2006087966","0,2006087966"
"23/08/2006",1,10704,"5887,2","0,2006087966","0,2006087966","0,2006087966","0,2006087966","0,2006087966"
"25/08/2006",2,10000,5500,"0,2006087966","0,2006087966","0,2006087966","0,2006087966","0,2006087966"
"28/08/2006",1,50,28,"0,20425622927","0,20425622927","0,20425622927","0,20425622927","0,20425622927"
"31/08/2006",1,8723,"4797,65","0,2006087966","0,2006087966","0,2006087966","0,2006087966","0,2006087966"
"01/09/2006",1,200,116,"0,2115510946","0,2115510946","0,2115510946","0,2115510946","0,2115510946"
"04/09/2006",3,37045,"21486,1","0,2115510946","0,2115510946","0,2115510946","0,2115510946","0,2115510946"
"05/09/2006",2,61409,"33774,95","0,2006087966","0,2006087966","0,2006087966","0,2006087966","0,2006087966"
"12/09/2006",1,20000,11400,"0,20790366193","0,20790366193","0,20790366193","0,20790366193","0,20790366193"
"13/09/2006",1,15178,"8499,68","0,20425622927","0,20425622927","0,20425622927","0,20425622927","0,20425622927"
"14/09/2006",1,30000,16500,"0,2006087966","0,2006087966","0,2006087966","0,2006087966","0,2006087966"
"15/09/2006",4,32181,"17499,55","0,19829535084","0,20196748697","0,19829535084","0,20196748697","0,19829535084"
"19/09/2006",4,50742,"26704,82","0,18727894246","0,19462321471","0,18727894246","0,19462321471","0,19462321471"
"21/09/2006",1,50,"25,5","0,18727894246","0,18727894246","0,18727894246","0,18727894246","0,18727894246"
"26/09/2006",5,61817,"31213,78","0,18360680633","0,18727894246","0,18360680633","0,18727894246","0,18360680633"
"27/09/2006",10,19351,"9544,15","0,20931175922","0,20931175922","0,17626253408","0,20931175922","0,17993467021"
"09/10/2006",1,20000,11000,"0,20196748697","0,20196748697","0,20196748697","0,20196748697","0,20196748697"
"11/10/2006",1,6066,3033,"0,18360680633","0,18360680633","0,18360680633","0,18360680633","0,18360680633"
"25/10/2006",2,20643,"9908,64","0,17775568181","0,17775568181","0,17775568181","0,17775568181","0,17775568181"
"26/10/2006",1,9609,"4804,5","0,18516216855","0,18516216855","0,18516216855","0,18516216855","0,18516216855"
